idno,nwspol,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstun,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdgr,rlgatnd,pray,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,brncntr,blgetmg,facntr,mocntr,gvrfgap,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,bnlwinc,lkuemp,lknemny,vteurmmb,hhmmb,gndr,agea,icpart1,dvrcdeva,maritalb,chldhm,domicil,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,emplrel,estsz,jbspv,wkdcorga,iorgact,wkhct,wkhtot,tporgwk,wrkac6m,uemp3m,mbtru,hincsrca,hinctnta,hincfel,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,emprf14,emprm14,atncrse,anctry1,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,neverwork,occgrp,industry,votesd
1608,90,5. Every day,8,7,7,1,5,4,5,3,7,9,6,7,7,5,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,4,8,6,5,7,5,7,2,5,1,5,2,1,1,2,7,8,5,8,7. Every day,4. 4-6,3,1. Yes,1,1,3,7,6,1. Yes,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,7,3,10,5,3,3,4,4,3,1,2,2,2,2,2,2,2,1,3,4,6,3,2,7,6,6,7,2,4,2,3,3,2. 5-9,6,5,6,6,6,4,2,2,4,3,3,1,4,1,1,1,1. Remain member of the European Union,4,1. Yes,52,1. Yes,1. Yes,1. Legally married,1. Yes,1. A big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,1. Yes,8,8,40,40,1. Central or local government,0. No,0. No,"1. Yes, currently",1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,3,5,2,4,4,5,4,2,3,4,3,4,5,4,5,3,5,2,4,5,4,12. SE224,0,2. Professionals,"11. Professional, scientific, and technical",0
1610,5,5. Every day,6,6,6,3,2,3,2,2,2,4,4,2,2,5,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,4,9,3,0,1,2,5,2,4,2,4,3,2,2,2,5,3,5,10,7. Every day,6. 10 or more,3,0. No,1,1,3,9,0,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,4,3,10,4,8,5,4,3,3,4,3,2,2,2,2,2,2,2,2,1,5,4,8,2,0,10,2,2,2,3,1,5,3,2,3. 10-14,7,5,8,8,7,3,2,2,3,3,3,3,3,3,1,1,2. Leave the European Union,1,1. Yes,51,0. No,0. No,6. None of these (NEVER married or in legally registered civil union),0. No,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,8,5,40,45,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,4th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,1,5,4,5,5,2,5,3,4,4,3,2,5,2,5,5,5,3,4,4,3,4. SE123,0,8. Plant and Machine Operators,3. Manufacturing,1
1618,120,5. Every day,6,6,5,1,2,3,3,4,8,7,7,5,5,7,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,6,6,5,4,8,7,8,4,5,1,5,2,2,2,3,6,6,7,8,6. Several times a week,1. 1,3,0. No,1,1,3,7,8,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,3,7,5,8,4,2,4,2,2,2,1,2,2,3,1,1,1,1,1,4,3,7,3,4,6,7,7,6,3,2,4,5,3,2. 5-9,3,6,7,10,10,2,2,2,3,2,2,2,3,1,1,1,1. Remain member of the European Union,1,1. Yes,52,0. No,0. No,6. None of these (NEVER married or in legally registered civil union),0. No,2. Suburbs or outskirts of big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,1. Yes,10,5,40,47,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,9th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,2,3,2,2,5,2,1,2,5,2,1,2,2,2,3,2,1,1,2,5,2,1. SE110,0,3. Technicians,5. Construction,0
1620,30,5. Every day,7,8,9,3,1,2,2,2,3,6,6,1,0,8,1. Yes,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,3,7,8,3,7,5,5,1,5,1,5,1,2,2,2,4,6,3,8,7. Every day,4. 4-6,3,0. No,2,3,2,10,1,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,2,2,9,4,4,5,1,1,1,3,3,4,4,4,3,2,4,2,3,3,5,3,3,6,8,8,9,4,1,4,5,2,6. 25-29,0,1,10,10,10,2,2,2,2,3,4,3,3,3,1,1,33. Would submit a blank ballot paper,3,0. No,51,1. Yes,1. Yes,4. Legally divorced/civil union dissolved,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,0,0,37,39,1. Central or local government,0. No,0. No,"1. Yes, currently",1. Wages or salaries,4th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,4,6,2,6,4,2,4,3,2,1,1,1,6,3,6,6,5,1,3,3,6,5. SE124,0,5. Services,15. Health and social work,0
1622,15,5. Every day,4,8,8,3,2,1,2,1,7,9,10,7,6,8,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,10,8,5,8,8,7,10,2,5,1,5,1,2,2,2,3,7,5,7,7. Every day,4. 4-6,1,0. No,2,1,3,10,2,0. No,2,6. Less often,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,10,4,2,4,2,4,1,3,3,2,5,3,4,5,3,3,5,1,4,4,7,4,0,8,7,7,4,1,1,1,2,2,2. 5-9,2,3,7,8,8,3,2,3,2,2,5,2,4,4,1,1,1. Remain member of the European Union,3,0. No,51,1. Yes,0. No,1. Legally married,1. Yes,2. Suburbs or outskirts of big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,3,1,40,40,1. Central or local government,0. No,0. No,"1. Yes, currently",1. Wages or salaries,7th decile,2,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,4,4,1,6,1,5,2,1,1,5,2,2,6,2,5,3,3,1,2,2,4,2. SE121,0,4. Clerical,15. Health and social work,0
1623,30,5. Every day,5,8,9,2,2,3,2,2,6,4,8,3,3,7,1. Yes,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,0. No,8,9,9,3,6,5,5,4,5,1,5,2,2,2,2,3,4,8,9,7. Every day,4. 4-6,3,0. No,1,2,3,7,7,0. No,6,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1,2,1,3,10,4,3,3,4,4,4,1,2,2,1,1,1,1,1,3,2,3,3,1,3,4,6,3,7,1,2,4,4,2,5. 20-24,4,4,8,8,9,3,2,2,2,2,3,3,2,3,1,1,1. Remain member of the European Union,5,0. No,52,1. Yes,0. No,1. Legally married,1. Yes,4. Country village,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,1. Yes,10,7,100,100,4. A private firm,0. No,0. No,3. No,1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,1,4,2,2,2,1,3,1,4,1,2,1,4,3,3,3,3,1,4,3,1,12. SE224,0,5. Services,15. Health and social work,0
1627,60,5. Every day,5,5,7,4,3,1,3,1,5,6,6,1,0,7,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,5,9,6,2,5,4,4,4,5,1,5,1,2,2,2,2,8,8,8,7. Every day,3. 3,3,0. No,2,2,3,8,5,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,6,4,6,5,3,2,2,4,1,1,2,2,2,2,2,1,3,1,2,2,7,2,4,3,3,3,5,2,2,3,2,3,2. 5-9,5,4,5,5,7,3,2,2,2,1,2,2,3,2,1,1,2. Leave the European Union,2,0. No,51,1. Yes,1. Yes,1. Legally married,0. No,2. Suburbs or outskirts of big city,0. No,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,1,0,38,38,2. Other public sector (such as education and health),0. No,0. No,3. No,1. Wages or salaries,9th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,1,5,3,5,3,2,2,2,2,2,2,1,2,2,5,3,3,1,2,3,4,1. SE110,0,2. Professionals,14. Education,0
1630,10,5. Every day,5,7,7,2,1,2,2,3,0,0,8,0,0,6,1. Yes,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,0,10,3,4,5,4,4,1,5,1,5,1,2,2,2,6,10,8,10,2. Less than once a month,3. 3,1,0. No,2,4,2,10,10,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,10,5,0,5,2,3,1,1,1,2,4,3,3,2,2,2,3,3,2,2,7,2,3,5,2,0,0,5,1,5,5,1,2. 5-9,3,3,10,10,10,5,2,1,4,3,4,2,4,1,2,2,2. Leave the European Union,4,1. Yes,51,1. Yes,0. No,1. Legally married,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,6,0,40,40,4. A private firm,0. No,1. Yes,"1. Yes, currently",1. Wages or salaries,3rd decile,3,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,4,1,3,4,5,5,1,5,1,4,1,3,2,4,5,5,1,2,6,1,7. SE211,0,8. Plant and Machine Operators,3. Manufacturing,0
1631,60,5. Every day,6,6,6,3,2,2,2,2,8,8,7,6,5,6,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,5,6,5,6,7,7,6,3,5,1,5,1,2,2,2,5,5,6,7,6. Several times a week,2. 2,3,0. No,2,2,2,8,9,0. No,0,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,6,4,7,4,3,5,2,2,2,1,2,2,2,1,1,1,1,1,3,3,6,2,4,5,5,5,4,2,2,4,3,2,3. 10-14,3,5,10,10,10,3,3,3,3,2,3,2,4,1,1,1,1. Remain member of the European Union,1,0. No,52,0. No,0. No,6. None of these (NEVER married or in legally registered civil union),0. No,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,5,5,40,40,2. Other public sector (such as education and health),0. No,0. No,"1. Yes, currently",1. Wages or salaries,8th decile,2,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,2,3,1,3,4,3,1,1,2,3,1,1,3,2,4,2,2,1,1,4,2,1. SE110,0,3. Technicians,14. Education,0
1632,45,5. Every day,7,7,7,2,2,4,2,3,8,5,5,7,6,5,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,10,10,7,3,5,7,7,3,5,1,5,2,2,2,2,7,8,8,9,7. Every day,3. 3,3,0. No,1,2,3,7,5,1. Yes,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,2,4,10,5,2,3,2,2,4,1,1,2,2,1,2,2,2,3,3,2,7,2,5,5,2,5,2,4,3,4,2,3,2. 5-9,5,5,7,4,7,3,3,2,3,3,3,4,4,2,1,1,1. Remain member of the European Union,4,1. Yes,51,1. Yes,0. No,6. None of these (NEVER married or in legally registered civil union),1. Yes,2. Suburbs or outskirts of big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,10,5,40,40,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,1,4,4,4,5,2,5,3,2,4,2,2,5,5,3,3,3,1,4,2,2,1. SE110,0,8. Plant and Machine Operators,12. Administrative and support service,0
1636,60,5. Every day,5,3,4,2,3,3,3,4,7,8,6,4,4,5,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,7,9,7,3,5,3,7,4,5,1,5,1,2,2,2,5,3,5,9,5. Once a week,4. 4-6,2,0. No,1,2,3,9,7,1. Yes,1,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,2,2,8,5,2,2,4,3,3,2,2,3,2,2,3,3,3,1,3,4,5,3,3,4,6,8,8,3,3,4,2,2,2. 5-9,4,4,8,7,7,3,2,2,3,3,4,3,4,1,1,1,1. Remain member of the European Union,5,1. Yes,51,1. Yes,0. No,1. Legally married,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,3. Working for own family business,3. 25 to 99,1. Yes,10,10,40,40,4. A private firm,0. No,0. No,3. No,1. Wages or salaries,9th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,3. Not working,1. Yes,12060. Swedish nfs,3,5,4,5,5,4,3,3,4,4,3,3,5,3,5,4,3,3,4,3,5,7. SE211,0,3. Technicians,5. Construction,0
1649,5,5. Every day,3,3,3,4,2,1,2,1,8,3,3,4,5,7,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,8,10,0,1,4,3,8,3,4,2,4,4,2,3,4,0,0,0,9,7. Every day,4. 4-6,2,1. Yes,1,2,2,10,6,1. Yes,4,6. Less often,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,4,5,10,5,10,5,3,2,4,4,4,2,3,4,3,2,2,2,2,2,1,3,8,3,3,4,4,4,5,5,2,2,2,3,2. 5-9,4,5,10,6,4,4,4,4,4,4,4,4,3,2,1,1,2. Leave the European Union,3,1. Yes,51,1. Yes,0. No,6. None of these (NEVER married or in legally registered civil union),1. Yes,5. Farm or home in countryside,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,10,3,38,38,6. Other,0. No,0. No,3. No,1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,5,3,6,3,3,5,3,3,3,2,2,5,4,5,3,6,4,3,2,3,11. SE221,0,8. Plant and Machine Operators,7. Transportation and Storage,1
1657,60,5. Every day,7,8,7,3,3,3,3,3,8,7,7,6,6,6,0. No,0. No,1. Yes,0. No,1. Yes,0. No,1. Yes,0. No,0. No,5,8,7,7,7,8,8,3,5,2,4,2,2,2,2,4,7,5,8,6. Several times a week,3. 3,3,0. No,1,2,3,9,6,1. Yes,5,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,5,4,7,5,2,3,3,3,2,2,2,2,2,2,2,2,2,1,4,4,7,3,2,6,6,6,6,2,2,3,3,2,2. 5-9,7,7,7,6,6,3,4,2,3,3,3,4,3,3,1,1,2. Leave the European Union,5,1. Yes,51,1. Yes,0. No,1. Legally married,1. Yes,4. Country village,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,1. Under 10,1. Yes,10,10,40,40,5. Self employed,0. No,0. No,"1. Yes, currently",3. Income from farming,9th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,2. Self-employed,1. Yes,12060. Swedish nfs,2,5,3,3,2,5,4,2,2,4,2,3,4,3,5,2,4,2,2,2,4,5. SE124,0,6. Skilled Agricultural,3. Manufacturing,0
1659,60,5. Every day,6,8,7,2,3,4,3,4,7,8,8,4,4,7,1. Yes,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,1. Yes,0. No,7,8,5,3,4,5,7,3,5,1,5,1,1,1,1,10,10,10,9,7. Every day,4. 4-6,5,1. Yes,1,3,3,5,5,0. No,0,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1,1,8,3,10,5,1,1,2,4,1,2,2,4,2,1,2,3,2,2,2,2,8,2,2,4,8,2,1,2,2,4,2,2,2. 5-9,8,7,8,6,8,2,2,3,2,2,2,1,4,3,1,1,1. Remain member of the European Union,4,1. Yes,51,1. Yes,1. Yes,1. Legally married,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,1. Yes,9,6,37,37,6. Other,0. No,0. No,"2. Yes, previously",1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,1. Yes,12060. Swedish nfs,3,4,1,5,3,2,5,1,1,2,3,1,4,1,3,5,5,1,1,1,1,10. SE214,0,2. Professionals,"10. Finance, insurance, real estate",0
1661,60,5. Every day,8,7,7,2,3,3,4,3,8,8,7,6,8,9,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,5,10,9,7,9,9,9,2,5,1,5,1,2,2,2,8,10,8,9,6. Several times a week,6. 10 or more,3,1. Yes,1,1,2,7,7,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,10,5,9,5,2,5,1,1,1,1,3,3,3,1,2,2,1,1,4,3,7,4,0,10,4,3,7,1,4,1,4,2,2. 5-9,7,5,8,8,8,4,4,2,4,4,4,3,4,3,1,1,1. Remain member of the European Union,1,1. Yes,51,0. No,0. No,6. None of these (NEVER married or in legally registered civil union),0. No,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,4. 100 to 499,1. Yes,4,8,40,60,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,9th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,3,5,1,5,5,1,6,1,5,2,3,2,5,5,2,5,4,1,1,5,1,10. SE214,0,5. Services,8. Accommodation and food service,0
1662,30,5. Every day,7,7,4,2,2,3,2,3,4,7,7,5,5,5,0. No,0. No,1. Yes,1. Yes,1. Yes,0. No,0. No,0. No,1. Yes,7,8,6,3,5,4,4,3,5,1,3,5,1,1,1,6,5,10,8,6. Several times a week,4. 4-6,3,0. No,1,2,3,8,8,1. Yes,10,3. Once a week,1. Every day,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,1,8,4,10,4,3,4,2,3,3,2,2,2,2,2,2,2,2,2,3,4,6,2,0,5,5,5,5,2,1,1,1,4,4. 15-19,5,5,2,3,2,2,2,3,3,1,2,3,3,1,1,1,2. Leave the European Union,4,0. No,51,1. Yes,0. No,1. Legally married,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,1. Under 10,1. Yes,10,10,40,45,5. Self employed,0. No,0. No,3. No,1. Wages or salaries,7th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,4,5,1,3,5,4,3,2,4,5,3,2,3,5,5,6,4,1,1,3,3,19. SE322,0,5. Services,15. Health and social work,0
1677,15,5. Every day,5,5,7,2,5,3,3,2,8,8,9,8,8,9,0. No,0. No,0. No,1. Yes,1. Yes,1. Yes,1. Yes,0. No,1. Yes,3,9,3,5,8,7,7,2,5,1,5,2,1,1,1,5,5,10,8,7. Every day,4. 4-6,3,0. No,2,2,3,10,7,1. Yes,5,6. Less often,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,9,4,7,4,2,5,1,1,2,2,2,2,3,2,2,2,2,1,3,4,8,3,2,8,7,7,7,1,1,2,4,2,5. 20-24,3,3,10,10,10,4,2,2,4,5,5,1,5,3,2,2,1. Remain member of the European Union,4,1. Yes,50,1. Yes,0. No,1. Legally married,1. Yes,1. A big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Under 10,1. Yes,9,9,40,40,1. Central or local government,0. No,0. No,"1. Yes, currently",1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,1. Yes,12060. Swedish nfs,2,3,2,4,2,2,3,2,2,2,2,2,5,2,4,3,4,2,2,3,2,12. SE224,0,3. Technicians,15. Health and social work,0
1682,30,5. Every day,7,7,7,2,3,2,3,2,9,9,8,6,6,7,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,4,7,6,6,7,8,8,2,5,2,4,3,2,2,2,5,7,5,7,5. Once a week,4. 4-6,3,1. Yes,1,3,3,8,4,1. Yes,5,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1,4,7,4,8,5,3,3,1,3,4,1,3,1,1,1,1,1,2,1,2,4,8,3,1,7,5,6,2,3,1,2,4,4,3. 10-14,7,6,8,8,8,3,2,3,4,2,4,3,4,3,2,2,1. Remain member of the European Union,1,1. Yes,50,0. No,1. Yes,6. None of these (NEVER married or in legally registered civil union),0. No,5. Farm or home in countryside,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,7,5,45,45,4. A private firm,0. No,1. Yes,"1. Yes, currently",1. Wages or salaries,6th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,3,4,2,5,2,4,2,2,2,2,3,2,4,2,5,4,3,2,2,2,2,14. SE232,0,8. Plant and Machine Operators,7. Transportation and Storage,0
1691,60,5. Every day,5,8,7,3,3,3,3,3,10,10,6,7,7,9,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,7,8,7,6,7,4,3,3,5,1,5,1,1,1,1,7,8,7,8,5. Once a week,3. 3,3,0. No,1,2,2,8,6,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,8,3,7,5,4,3,4,4,4,1,2,3,3,1,2,2,2,1,3,3,7,3,4,8,8,7,0,2,2,2,2,2,2. 5-9,3,4,9,9,9,2,2,3,4,2,4,3,4,3,1,1,1. Remain member of the European Union,3,1. Yes,50,1. Yes,0. No,1. Legally married,1. Yes,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,9,8,40,42,4. A private firm,0. No,1. Yes,"1. Yes, currently",1. Wages or salaries,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,3. Not working,1. Yes,12060. Swedish nfs,4,4,2,4,3,4,5,3,3,3,3,3,4,2,4,3,3,4,3,4,3,17. SE313,0,2. Professionals,3. Manufacturing,0
1693,60,5. Every day,7,7,6,2,2,2,2,2,8,8,7,5,5,5,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,0. No,1. Yes,7,9,5,2,8,8,7,4,5,1,5,2,2,2,2,4,4,4,8,7. Every day,3. 3,3,0. No,2,1,3,10,10,0. No,0,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,4,7,4,7,5,1,4,1,1,3,1,2,2,3,1,1,1,1,2,2,3,5,2,5,4,3,3,4,2,2,4,2,3,2. 5-9,7,5,10,10,10,2,3,3,3,2,4,3,3,1,1,1,1. Remain member of the European Union,1,1. Yes,50,0. No,1. Yes,4. Legally divorced/civil union dissolved,0. No,2. Suburbs or outskirts of big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,0,0,40,40,4. A private firm,0. No,0. No,3. No,1. Wages or salaries,9th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,1,3,1,1,3,1,2,1,3,1,1,1,2,4,2,1,1,1,2,5,1,1. SE110,0,7. Craft and Trades,8. Accommodation and food service,0
